"station_id","LOCATION","NAME","LATITUDE","LONGITUDE","ALTITUDE","sample_dates","n_sample_dates","total_obs","total_T_DRYB","total_T_DEWP","total_U_10","T_mean_sampled"
"201","201_T_DV","platform D15-FA-1 locatie DV",54.325556,2.935833,42.7,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,1440,1440,10.1
"201","201_T_DV1","platform D15-FA-1 locatie DV1",54.325556,2.935833,42.7,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,0,0,1440,NA
"203","203_T_PG","platform P11-B locatie PG",52.36,3.341667,41.8,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,10.9
"203","203_T_PG1","platform P11-B locatie PG1",52.36,3.341667,41.8,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,0,0,2304,NA
"204","204_T_KV","platform K14-FA-1C locatie KV",53.269444,3.627778,41.8,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2303,2303,2303,10.6
"204","204_T_KV1","platform K14-FA-1C locatie KV1",53.269444,3.627778,41.8,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,0,0,2303,NA
"205","205_T_AK","platform A12-CPP locatie AK",55.399167,3.810278,48.4,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,9.5
"205","205_T_AK1","platform A12-CPP locatie AK1",55.399167,3.810278,48.4,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,0,0,2304,NA
"207","207_T_MG","platform L9-FF-1 locatie MG",53.614444,4.960278,44,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,10.6
"207","207_T_MG1","platform L9-FF-1 locatie MG1",53.614444,4.960278,44,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,0,0,2304,NA
"208","208_T_MA","platform AWG-1 locatie MA",53.491667,5.941667,40.5,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2303,2303,2303,10.3
"208","208_T_MA1","platform AWG-1 locatie MA1",53.491667,5.941667,40.5,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,0,0,2303,NA
"211","211_T_JA","platform J6-A lokatie JA",53.824167,2.945278,45.7,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,10.2
"211","211_T_JA1","platform J6-A lokatie JA1",53.824167,2.945278,45.7,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,0,0,2304,NA
"212","212_T_QE","platform Hoorn-A locatie QE",52.918056,4.150278,50.9,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,1152,1152,1152,10.5
"212","212_T_QE2","platform Hoorn-A locatie QE2",52.918056,4.150278,50.9,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,0,0,1152,NA
"214","214_T_HW","platform Buitengaats/BG-OHVS2 locatie HW",54.036944,6.041667,42.5,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,10.3
"215","215_T_a","Voorschoten thermometer en hygrometer",52.139722,4.436389,-1.1,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2303,2303,2303,10.3
"216","216_T_QS","platform Hollandse Kust Zuid Alfa",52.319316,4.043033,19.6,"2024-10-15",1,144,144,144,144,11.8
"216","216_T_QS","platform PEHQS",52.319444,4.042222,44,"2024-04-15;2024-07-15",2,288,144,144,144,18.6
"216","216_T_QS1","platform Hollandse Kust Zuid Alfa",52.319316,4.043033,19.6,"2024-10-15",1,144,0,0,144,NA
"235","235_T_21t","De Kooij locatie T_21t",52.926223,4.781732,1.5,"2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",9,1296,1012,1012,1012,10.3
"235","235_T_obs","De Kooy waarneemterrein",52.926944,4.781111,1.2,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,10.3
"239","239_T_FD","platform F3 locatie A",54.853889,4.696111,50.6,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,9.8
"240","240_T_18Cm27","Schiphol locatie 18Cm27",52.317222,4.789722,-3.3,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,10.3
