"ExternalSiteId","Latitude","Longitude","Height"
"1000010500",50.6072,4.0565,90
"1000019240",50.6083,4.6386,140
"1000001603",50.6083162,4.647582,140
"1000011507",50.6229,5.5592,144
"1000008881",50.627,3.5511,81
"1000011435",50.6279,3.9121,75
"1000005004",50.6415,3.292,89
"1000019765",50.6443,4.7088,239
"1000005527",50.6457,6.8383,177
"1000014577",50.6625,3.7897,37
"937826001",50.665637,4.489718,135
"1000015944",50.6763,5.7916,238
"1000005686",50.6778,4.3605,110
"1000015147",50.6897,4.1992,0
"1000010507",50.6967,4.0359,48
"1000018392",50.697,7.0552,160
"1000003345",50.6987,5.6842,130
"1000013155",50.7013,3.9809,65
"966476001",50.704492,3.136128,56
"946276001",50.705066,3.090682,32
"1000012383",50.7082,4.3768,116
"1000010675",50.711,3.2849,21
"68057057",50.712862,5.03058,70
"1000001703",50.727963,2.913576,18
"1000015953",50.7296,4.0021,0
"1000002565",50.73389,5.759722,110
"1000007964",50.74,4.8287,92
"1000006042",50.7433,5.2264,107
"1000011169",50.7477,5.069,75
"1000001657",50.7480037437739,4.36263692596435,110
"1000012055",50.7484,4.5704,68
"922426001",50.749333,4.516434,105
"1000001823",50.7583327,4.20988950000003,55
"1000008316",50.7623,4.3034,73
"1000011224",50.7655,5.5047,105
"1000012371",50.7672,4.951,89
"1000008239",50.769,5.8582,3
"1000002859",50.771392003067,3.884281843586,35
"1000006343",50.7732,3.8803,21
"1000012244",50.7732,3.8911,20
"1000010804",50.774,4.3365,85
"1000010513",50.7755,3.447,0
"1000016488",50.7821,2.8329,60
"1000006262",50.7898,3.246,50
"1000005118",50.7946,5.9221,105
"1000006034",50.7962,3.1157,5
"1000009237",50.7968,6.9541,64
"1000002880",50.7976,4.3569,100
"1000005899",50.7976,4.3569,100
"1000011466",50.7989,4.1921,52
"1000009423",50.8001,4.4028,85
"1000020598",50.8002,3.771,50
"1000006045",50.809961,4.940437,15
"1000013490",50.8108,5.7161,0
"1000011530",50.8127,4.6218,33
"1000003157",50.8131426,3.9226649,23
"1000004782",50.8133,3.196,27
"1000017523",50.8165,4.3382,105
"1000013407",50.8168,4.5525,99
"1000003775",50.816920126327,3.75061194610021,100
"1000006041",50.8173,5.1888,15
"748416852",50.819151,6.494575,121
"1000013404",50.8196,4.5264,78
"1000000678",50.8196,4.5483,78
"1000006037",50.821074,3.585236,15
"1000013398",50.824,4.514,71
"1000013403",50.8251,4.5145,84
"1000004087",50.8277,3.5295,21
"1000004647",50.8299,5.1037,0
"1000004576",50.8308,4.1386,90
"1000015550",50.8319,4.3499,100
"1000011504",50.8321,4.8648,62
"1000013405",50.8331,4.5282,73
"1000006267",50.8345,7.0298,43
"1000007665",50.8355,3.2033,20
"1000013408",50.836,4.5613,60
"24497416",50.836191,6.071835,170
"1000012248",50.8368,4.0221,25
"1000019542",50.8376,3.2609,17
"1000001685",50.838245,4.856508,54
"1000012861",50.84,4.0235,25
"1000002168",50.8407773504443,4.4234848959785,75
"1000008257",50.8414,4.2701,57
"1000020877",50.8414,5.6876,80
"1000006010",50.841455,4.363672,20
"1000005858",50.8427,5.6478,87
"1000017126",50.8432,3.0219,0
"1000006036",50.843253,3.586195,15
"1000006875",50.8435,3.9963,25
"1000008648",50.846289,2.883056,5
"1000005162",50.8468,4.756,47
"1000006011",50.847025,4.357971,20
"1000005505",50.8474,4.7891,0
"1000006319",50.8482,4.7336,64
"1000007470",50.8482,4.7958,55
"1000011730",50.8487,3.0899,23
"1000010649",50.8488,5.5795,110
"1000006025",50.851,2.8827,18
"1000005399",50.851,4.6908,47
"1000000713",50.851333,5.724629,56
"1000015834",50.8538,4.6943,42
"1000005786",50.8556,4.677,32
"1000019556",50.8556,4.677,32
"1000006302",50.856,3.279,18
"1000009059",50.8569,4.7031,40
"1000005402",50.8575,4.7045,49
"1000014567",50.8582,5.3148,30
"1000013409",50.8586,4.5377,78
"1000006389",50.8598,3.2516,18
"1000005193",50.8601,4.691,0
"1000005479",50.8615,4.7134,0
"1000005401",50.8618,4.6543,28
"1000007566",50.8621,6.4917,122
"1000009078",50.8623,4.6813,21
"1000011734",50.8624,3.6403,14
"927846001",50.862552,5.031244,48
"1000009080",50.8627,4.6868,26
"1000005783",50.8629,4.7102,31
"1000012249",50.8631,3.8084,15
"1000009079",50.8634,4.6825,21
"1000004330",50.864,4.8402,85
"1000009077",50.8641,4.6792,21
"1000006501",50.8641,4.7147,25
"1000009068",50.8642,4.676,21
"1000016772",50.8643,7.003,0
"1000012918",50.8647,4.8597,90
"1000001616",50.8652,3.5231,67
"1000006027",50.865283,4.307661,20
"1000015829",50.8654,4.7266,38
"1000005416",50.8655,4.6951,28
"1000015830",50.8664,4.7269,38
"1000015828",50.8665,4.7303,38
"1000006289",50.8667,4.7101,35
"1000015827",50.8668,4.7288,38
"1000015826",50.8673,4.7252,38
"1000009076",50.8675,4.6855,23
"1000005413",50.8681,4.7481,57
"1000012890",50.8685,3.2163,36
"1000006287",50.8686,4.6964,23
"70645183",50.8687,6.0259,155
"1000006284",50.8691,4.7112,41
"1000020639",50.8693,4.7009,26
"1000005803",50.8694,4.7218,40
"1000005163",50.8701,4.728,0
"1000018076",50.8701,6.472,0
"1000020539",50.8703,4.7018,32
"1000005164",50.8707,4.685,31
"1000005513",50.8708,4.7014,33
"1000016913",50.8708,5.5781,81
"1000005185",50.8712,4.714,0
"1000005884",50.8722,4.7015,37
"1000009064",50.8724,4.696,24
"1000011377",50.8724,4.7303,50
"1000005780",50.8726,4.7326,57
"1000009065",50.8731,4.6992,37
"1000005409",50.8733,4.6941,19
"1000016319",50.8733,4.6966,22
"1000009066",50.8734,4.7035,38
"1000005417",50.8735,4.683,36
"1000012647",50.874,4.7154,38
"1000008857",50.8743,4.7058,35
"1000015832",50.8744,4.7605,92
"1000009075",50.8746,4.6994,38
"1000009069",50.8746,4.7006,42
"1000005165",50.8748,4.663,51
"1000005494",50.8748,4.7299,43
"1000005427",50.8752,4.7211,37
"1000009071",50.8762,4.7028,37
"1000005698",50.8763,5.9701,100
"1000005778",50.8764,4.6873,31
"1000009070",50.8768,4.6976,20
"1000005223",50.8769,4.711,34
"1000017327",50.877,4.8045,109
"1000009067",50.8773,4.7092,34
"1000005882",50.8773,4.7229,37
"1000009074",50.8774,4.6998,26
"1000008854",50.8775,4.6893,20
"1000008856",50.8781,4.7069,31
"1000008121",50.8782,4.7009,27
"1000020638",50.8784,4.6969,15
"1000005235",50.8786,4.749,0
"1000006453",50.8787,4.6749,52
"1000005921",50.879,4.7045,30
"1000005922",50.8799,4.6968,18
"1000008855",50.8799,4.7001,20
"1000009081",50.8802,4.6734,65
"1000009082",50.8802,4.7155,31
"1000015833",50.8806,4.7533,44
"1000006883",50.8806,4.8878,0
"1000005228",50.8808,4.737,0
"942336001",50.880917,5.34403,40
"1000005197",50.8812,4.713,0
"1000005403",50.8813,4.695,18
"1000006291",50.8815,4.7144,25
"1000006286",50.882,4.7025,18
"1000005781",50.882,4.7185,31
"1000005412",50.8822,4.6853,38
"1000005510",50.8828,4.6699,62
"1000005423",50.8828,4.6992,18
"1000005404",50.8834,4.7242,27
"1000006200",50.8837,4.7051,17
"1000005400",50.8838,4.6882,42
"1000012648",50.884,4.7679,53
"1000005414",50.8842,4.7126,21
"1000012247",50.8844,3.8834,20
"1000009073",50.8844,4.6892,39
"1000005249",50.8848,4.696,17
"1000005422",50.8849,4.7289,28
"1000006288",50.8855,4.6775,63
"1000002011",50.8862165899473,4.7009055013275,30
"1000005782",50.8863,4.6893,48
"1000005418",50.8866,4.7295,27
"1000005251",50.887,4.694,54
"1000005424",50.8871,4.7397,32
"1000005784",50.8874,4.7454,30
"1000005419",50.8877,4.7007,16
"965616001",50.889542,4.721801,23
"1000005410",50.8898,4.6616,73
"1000010011",50.89,5.9883,132
"1000013914",50.8901,2.942,0
"1000018018",50.8901,2.9421,0
"1000005194",50.8903,4.728,0
"1000005804",50.8909,4.7241,22
"1000005405",50.8924,4.6925,49
"1000008710",50.8933,6.0516,108
"1000005919",50.8939,4.7757,44
"1000010724",50.894,4.8317,48
"1000005430",50.8966,4.7307,21
"1000005428",50.8979,4.7029,23
"1000005918",50.9006,4.7362,30
"1000005657",50.9021,4.678,30
"1000019555",50.9021,4.678,30
"1000019631",50.9029,3.4057,0
"1000002012",50.9040545709417,4.69590574264521,30
"1000006197",50.9046,4.6989,20
"1000005742",50.9105,4.717,16
"1000011864",50.9119,3.228,17
"1000005180",50.9123,4.716,0
"1000006399",50.9155,5.4504,39
"49793024",50.91847,3.987737,48
"935706001",50.921843,3.195089,16
"1000015067",50.9219,3.1955,16
"1000005432",50.9241,4.7121,11
"1000020637",50.9265,4.6969,17
"1000015831",50.9271,4.7247,12
"1000005963",50.927375,4.075781,20
"1000005212",50.928,4.722,12
"1000009116",50.9287,4.5332,19
"1000005745",50.9287,4.7243,20
"1000003200",50.9305,3.2713,15
"1000010071",50.9308,3.6341,10
"1000009087",50.9313,4.7199,14
"1000005415",50.9314,4.6811,15
"1000005347",50.932,4.0738,13
"1000007415",50.934,4.2096,53
"1000014193",50.9351,5.8949,89
"1000005969",50.9353,4.1926,42
"1000012651",50.9363,4.9641,60
"1000011858",50.937,4.6477,16
"1000013761",50.9373,3.1077,21
"1000005785",50.9378,4.6764,12
"1000010532",50.9401,4.6499,17
"1000005964",50.941617,4.034961,10
"1000015435",50.9422,6.9214,60
"1000005589",50.9436,3.9989,12
"1000014200",50.9456,4.075,10
"933546001",50.948215,5.30834,32
"1000014606",50.9489,5.1916,35
