"city","method","threshold","cost_loss_ratio","pev"
"Amsterdam","EMOS",20,0.01,0.616350446428571
"Amsterdam","EMOS",20,0.03,0.734933035714286
"Amsterdam","EMOS",20,0.05,0.767578125
"Amsterdam","EMOS",20,0.07,0.797991071428571
"Amsterdam","EMOS",20,0.09,0.782665964172813
"Amsterdam","EMOS",20,0.11,0.757349545944282
"Amsterdam","EMOS",20,0.13,0.732876712328767
"Amsterdam","EMOS",20,0.15,0.708098307816277
"Amsterdam","EMOS",20,0.17,0.666735434890246
"Amsterdam","EMOS",20,0.19,0.634111280230002
"Amsterdam","EMOS",20,0.21,0.609285590428299
"Amsterdam","EMOS",20,0.23,0.583081302259384
"Amsterdam","EMOS",20,0.25,0.558219178082192
"Amsterdam","EMOS",20,0.27,0.525192343779321
"Amsterdam","EMOS",20,0.29,0.498842369284198
"Amsterdam","EMOS",20,0.31,0.486202104427238
"Amsterdam","EMOS",20,0.33,0.479912083418524
"Amsterdam","EMOS",20,0.35,0.44336143308746
"Amsterdam","EMOS",20,0.37,0.425092411393781
"Amsterdam","EMOS",20,0.39,0.384123063103526
"Amsterdam","EMOS",20,0.41,0.37804736475505
"Amsterdam","EMOS",20,0.43,0.340062484979572
"Amsterdam","EMOS",20,0.45,0.328455790784558
"Amsterdam","EMOS",20,0.47,0.319462393383303
"Amsterdam","EMOS",20,0.49,0.304190169218372
"Amsterdam","QR",20,0.01,0.539899553571429
"Amsterdam","QR",20,0.03,0.726748511904762
"Amsterdam","QR",20,0.05,0.789341517857143
"Amsterdam","QR",20,0.07,0.793168048469388
"Amsterdam","QR",20,0.09,0.774160770736113
"Amsterdam","QR",20,0.11,0.749307372633523
"Amsterdam","QR",20,0.13,0.711344670130688
"Amsterdam","QR",20,0.15,0.693190975020145
"Amsterdam","QR",20,0.17,0.662279254002311
"Amsterdam","QR",20,0.19,0.62045492981566
"Amsterdam","QR",20,0.21,0.58878099531819
"Amsterdam","QR",20,0.23,0.572851805728518
"Amsterdam","QR",20,0.25,0.559360730593607
"Amsterdam","QR",20,0.27,0.532792268718334
"Amsterdam","QR",20,0.29,0.500385876905267
"Amsterdam","QR",20,0.31,0.480196545562835
"Amsterdam","QR",20,0.33,0.459364138213044
"Amsterdam","QR",20,0.35,0.433087460484721
"Amsterdam","QR",20,0.37,0.423679060665362
"Amsterdam","QR",20,0.39,0.404109589041096
"Amsterdam","QR",20,0.41,0.377757139540283
"Amsterdam","QR",20,0.43,0.365657293919731
"Amsterdam","QR",20,0.45,0.347758405977584
"Amsterdam","QR",20,0.47,0.341625743086069
"Amsterdam","QR",20,0.49,0.337026591458501
"Amsterdam","RF",20,0.01,0.645089285714286
"Amsterdam","RF",20,0.03,0.744419642857143
"Amsterdam","RF",20,0.05,0.806082589285714
"Amsterdam","RF",20,0.07,0.833904655612245
"Amsterdam","RF",20,0.09,0.819847960258919
"Amsterdam","RF",20,0.11,0.782784362013237
