"city","method","threshold","integrated_pev","max_pev","optimal_cl","improvement_pct"
"Amsterdam","RF",20,0.299,0.841,0.07,80.1
"Amsterdam","EMOS",20,0.268,0.798,0.07,61.4
"Amsterdam","QR",20,0.267,0.793,0.07,60.8
"Amsterdam","RAW",20,0.166,0.296,0.09,0
"Amsterdam","RAW",25,0.017,0.07,0.01,0
"Rotterdam","RF",20,0.341,0.813,0.15,186.6
"Rotterdam","EMOS",20,0.318,0.781,0.17,167.2
"Rotterdam","QR",20,0.314,0.788,0.17,163.9
"Rotterdam","RAW",20,0.119,0.172,0.17,0
"Rotterdam","RF",25,0.232,0.768,0.03,728.6
"Rotterdam","EMOS",25,0.186,0.743,0.03,564.3
"Rotterdam","QR",25,0.178,0.692,0.03,535.7
"Rotterdam","RAW",25,0.028,0.029,0.05,0
